タイトル,価格,販売数
[EUC] LONGINES L994.1 AUTOMATIC 34mm MEN'S DATE SILVER VINTAGE WATCH SWISS F917,358.2,1
[Exc+5 w/ Case] LONGINES L994.1 994 6184 Automatic 25J 33mm Men's Swiss Watch,469.9,1
[In Box]  LONGINES  Men's Manual Watch  Leather Band Excellent +5 Swiss #1838,160.0,1
🎦Vintage [Near MINT] Longines 156 7194 Les Grandes Classiques Gold Men's Watch,213.99,1
Reserved Longines Men's Vintage 31mm Quartz Gold Date Octagon Swiss Made,110.0,1
Vintage [Near MINT] Longines L.974.2 6504 Roman Dial Quartz Men's Watch JAPAN,299.99,1
[Near MINT] Vintage Longines 23mm Gold Dial Manual Women's Watch From JAPAN,189.99,1
Vintage 1988 [Exc+5] Longines L962.2 6674 Gold Square Quartz 29mm Watch JAPAN,229.9,1
LONGINES Ultra-chron Date Silver Dial Automatic Men's Watch_867916,508.3,1
LONGINES L761.2 MEN'S 30mm GOLD DIAL VINTAGE WATCH QUARTZ F833,182.63,1
Authentic Longines Ladies Vintage Manual Wind Watch Silver Dial Mesh Bracelet,93.0,1
[TOP MINT w/ Case] Longines L153.2 23mm Gold Dial Quartz Womens Watch From JAPAN,229.99,1
Longines Charleston Small Seconds Quartz 32MM Gold Case Men's Watch – Swiss Made,269.99,1
[MINT] Vintage Longines L962.2 21mm Gold Dial Square Quartz Women's From JAPAN,189.99,1
[Near MINT] Longines Conquest L152.4 24mm Gold Dial Quartz Women's Watch,250.99,1
[Near MINT] Longines L761.2 761 7027 Gold Tank Square Quartz Vintage Men's Watch,199.99,1
New Battery *Exc+5* Vintage Longines 150.6715 Gold 33mm Men's Quartz Watch JAPAN,139.99,1
[Near MINT] Longines L751.2 7027 Gold Dial Tank Shape Quartz Men's Watch,179.99,1
◆Vintage N MINT◆ Longines 978 6404 Quartz Gold Mens 32mm Watch L978.2 From JAPAN,179.99,1
[Near MINT] LONGINES 629 1663 Gold Dial 33mm Automatic Men's Watch Swiss Made,349.99,1
New Batt[Exc+5] Rare 1990's Longines planetarium Dial Moon Phase Quartz Unisex,1229.0,1
[MINT] Longines 962-3362 Vintage Quartz Gold Dial Square Womens Watch From JAPAN,279.99,1
Longines Automatic 34mm Vintage Watch Leather Strap Signed Buckle Working,170.0,1
[Vintage] Longines 20mm Gold Dial Quartz Women's Watch From JAPAN,169.99,1
Longines Dolce Vita Heart Diamond Smoseko Shell Dial 18K Rose Gold Stainless Ste,1130.0,1
LONGINES planetarium Date Moon Phase beige Dial Quartz Men's Watch_882060,1220.26,1
[MINT] Longines L156.2 7644 156 Silver Dial Quartz Mens Vintage Watch From JAPAN,249.99,1
[Near MINT] Longines Cal.520 Small Seconds 24mm Gold Dial Manual Women's Watch,399.99,1
【Exc+5】 Vintage LONGINES Flagship 4048 Cal.428 Square MT Men's Watch From JAPAN,219.9,1
LONGINES Dolce Vita L.5.755.4.716 Wristwatch Authentic Works Men,860.0,1
Boxed [Near MINT] LONGINES Conquest V.H.P. 4018 Silver Men's Quartz Watch JAPAN,249.99,1
Longines Flagship Rectangular Gold Dial Quartz Watch 27mm Vintage Swiss Made,115.0,1
Longines Conquest Quartz Watch Ladies Swiss Vintage Classic Running Japan,185.25,1
21mm 914L Metal Watch Band For Longines Conquest Hydroconquest/ DolceVita/Mas...,140.25,1
Reserved Longines Pleasant Watch Men's 32mm Gold Swiss Made Quartz Vintage Round,170.0,1
LONGINES L150.4 MEN'S 31mm GOLD DIAL VINTAGE WATCH QUARTZ SWISS F942,143.64,1
Vintage 1987 [Exc+5] Longines 977 6401 Gold Square Quartz Men's Watch From Japan,169.99,1
[Near MINT] Longines Conquest Day Date L163.2 4961 Quartz Men's Watch From JAPAN,349.99,1
Vintage LONGINES QWR CMZ5744 L150.4 Square Quartz Men Watch,110.0,1
[EXC+5] LONGINES L156.4 Gold Dial Date Mens Quartz Vintage Watch From JAPAN,124.99,1
[Near MINT] Vintage Longines Cal.345 Automatic Date Shilver Men's Watch JAPAN,499.99,1
LONGINES Ultracron Date Cal.6651 Silver Dial Automatic Men's Watch_866774,480.0,1
LONGINES Conquest Date Cal.294 Silver Dial Automatic Men's Watch_864037,320.0,1
LONGINES 717 6033 Gold Plated Quartz Men's Watch Round 33mm,128.0,1
Longines Watch Men's 33mm Vintage Gold Quartz Date Round Swiss Made,200.0,1
Longines Watch 30mm Men's Gold Vintage Quartz Square Swiss Made,90.2,1
LONGINES ADMIRAL 5 STARS Cal.6651 25Jewels Automatic.,853.0,1
Longines Watch Ladies Gold Round Quartz Vintage 23mm Swiss Made,72.82,1
[Near MINT] LONGINES L978.2 3253 Gold Dial Tank 31mm Shape Quartz Men's Watch,179.99,1
[Near MINT] Vintage LONGINES L717.2 717 6033 33mm Gold Dial Quartz Men's Watch,175.99,1
Vintage 1990s [Exc+5] Longines A50-2288 Silver Dial Quartz Watch From JAPAN,79.9,1
[Near MINT] Vintage Longines 156 7292 White Dial Gold 33mm Date Qz Men's Watch,189.9,1
LONGINES 33mm MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ F890,151.2,1
[Near MINT w/ Case] Longines Charleston 5242 L171.2 Pointer Date Qz Men's Watch,654.99,1
[N MINT in BOX] Longines L150.2 Gold Dial 33mm Man's Qz Watch w/ Card JAPAN T665,199.99,1
[EUC] LONGINES PRESENCE MEN'S GOLD PLATED VINTAGE WATCH SWISS QUARTZ BOX F968,214.2,1
"Vintage ""NEAR MINT+++"" Longines 150 7019 Quartz Square Men's Gold Watch JAPAN",180.0,1
Vintage [ Exc+5 ] LONGINES 150 6726 Gold Quartz Men's Watch 33mm From JAPAN,130.0,1
Longines Conquest Quartz Watch 2.4cm SWISS Working Rarity,113.71,1
LONGINES MEN'S GOLD PLATED VINTAGE WATCH SWISS MADE QUARTZ F966,124.2,1
[Near MINT] Longines Cal.L206.2 206 4017 25mm Silver Dial Quartz Women's Watch,199.99,1
[Near MINT] Longines Grand Classic L140.6 30mm White Dial Quartz Men's Watch,250.99,1
N MINT/Vintage Longines Conquest Square Blue Dial Manual Winding Mens Watch 30mm,419.9,1
New Battery [TOP MINT] LONGINES 963 7102 Gold Dial 29mm Quartz Men's Swiss Watch,299.9,1
Working Longines Flagship Hand Winding Watch 4MGY MSS 3.5cm x 4cm Vintage Japan,158.0,1
LONGINES Conquest - Women's Quartz Gold Square Watch Ladies Swiss made #1747,141.5,1
Vintage [Exc+5] LONGINES 744 4381 Gold Square Quartz Men's Watch From JAPAN,170.0,1
Longines Grand Classic Unisex Date Quartz Watch,105.0,1
[Near MINT] Vintage LONGINES 962 5156 150th Anniversary 20mm Gold Qz Men's Watch,299.99,1
LONGINES Admiral 5 Star Date Silver Dial Automatic Men's Watch_886995,448.8,1
Longines Flagship Beige Dial Black Strap Manual Unisex Watch Used Working #89,170.05,1
[Near MINT w/ Box] Longines 150th 178 5200 24mm Ivory Dial Quartz Women's Watch,199.99,1
▶[EXC+5] LONGINES CONQUEST Ti V.H.P L174.4 DATE MEN'S VINTAGE WATCH SWISS QUARTZ,229.99,1
[MINT] Longines Présence L150.4 Gold Dial Quartz Mens Vintage Watch From JAPAN,199.99,1
[Exc+5] LONGINES Men's Watch Quartz Swiss Made Analog Gold Dial Used Working,178.5,1
[Near MINT] Longines Cal.L140.6 140 7426 26mm Gold Dial Quartz Men's Watch,229.9,1
Reserved Longines Rudolph Watch Quartz 22mm Women White Dial Vintage With Box,100.0,1
Longines Flagship Silver Dial Black Band Manual Unisex Watch Used Working #53,140.6,1
[Near MINT+++] LONGINES Conquest 152 4937 Gold Quartz Women's Watch From Japan,169.99,1
[Near MINT Box] Longines Charleston Moonphase 5219 Triple Calendar Qz Mens Watch,749.99,1
*NEAR MINT* Vintage LONGINES L977.2 6401 Gold Square Shape 30mm Men Quartz Watch,199.9,1
[Near MINT / Paper] Vintage Longines L150.2 6710 Gold Quartz 33mm Watch JAPAN,218.0,1
Reserved Longines Watch Vintage Manual Silver Tonneau Men's 34mm Swiss Made,180.0,1
*Near MINT* Longines 150 6881 L150 Gold Square Quartz Men's Watch From JAPAN,189.99,1
[Exc+5 w/box] 1982 Longines L976.2 Gold 150 anniversary Quartz Men's Watch,359.99,1
[MINT] Longines Presence 150 L150.4 7229 Gold Quartz Mens Vintage Watch JAPAN,179.99,1
Reserved Longines Watch Men's Manual 33mm Vintage Gold Round Swiss Made,140.0,1
[Exc+5] LONGINES 978 3253 31mm Gold Dial Quartz Men's Watch New Band From JAPAN,178.99,1
[Exc+5] Longines Ultra Chron Cal.431 37mm Black Dial Date Automatic Men's Watch,599.9,1
[Near MINT] Longines Conquest 152 4937 White Dial Gold Quartz Ladies Watch JAPAN,179.9,1
[Near MINT] Longines Presence 150 6799 32mm Gold Dial Quartz Men's Watch Japan,159.99,1
LONGINES. Les grandes classiques 7413-26102914 Men's Quartz Watch Swiss #1835,200.0,1
Longines Automatic Watch 1664 Daydate 33mm From Japan 076 6292353,160.85,1
Vintage [ Exc+4 ] Longines 744.4379 Gold Dial Quartz Watch 34mm From JAPAN,139.99,1
Longines La Grande Classique 12P Diamond Ladies Watch Quartz Elegant Rare Japan,556.0,1
Longines L2-699-4 Automatic Winding,705.0,1
(For pfbk6111) 18 K Gold LONGINES white Dial Quartz women's Watch L7 490 6,550.0,1
Longines Conquest E.O.L. 4032 Gray Dial Quartz Unisex Watch Used Working #55,190.0,1
Vintage 1970's LONGINES 1663 Automatic Swiss made Men's Gold watch #1953,310.0,1
Vintage ◆A MINT◆ LONGINES Cal L645.1 Roman Dial 34mm Men's Automatic Watch JAPAN,359.99,1
Longines Conquest Vintage Watch Two-Tone Silver Gold Date Ladies Unisex Working,212.51,1
Vintage ◆Exc+5◆ LONGINES Admiral 5 Star Automatic 35mm Silver Date Men's Watch,419.99,1
[Near MINT] Longines Conquest Cal.L174.2 Silver Dial Date Quartz Men's Watch,249.99,1
[Exc+5] LONGINES 150 7017 Quartz Silver Dial 31mm Vintage Swiss Made Men's Watch,189.99,1
Longines Urtra-Chron Automatic Wach 31mm From Japan 165 6293176,80.0,1
Vintage 1985 [N MINT] Longines L717.2 6032 Silver 23mm Quartz Ladies Watch JAPAN,205.0,1
[Near MINT] 1970s Longines Conquest 152 4937 Gold Dial Date Quartz Ladies Watch,109.99,1
LONGINES 33mm MEN'S GOLD PLATED VINTAGE WATCH QUARTZ SWISS F999,151.2,1
[Near MINT] Vintage Longines Quartz 150 6885 Gold Dial Men's From JAPAN W521,189.9,1
Full Set *NEAR MINT* LONGINES L847.4 4222 Manual Winding Silver Mens 33mm Watch,259.9,1
[Near MINT] LONGINES 150 3418 Gold Two Tone Square Qz Women's Watch From Japan,209.99,1
[N Mint] Vintage Longines Silver Roman Dial Manual Wind Men's Watch,238.0,1
[N MINT / Full Set] Vintage Longines 700 1164 Gold 24mm Square Qz Women's Watch,160.0,1
Longines Men's 1157 Watch w/Fluted Bezel & Date Function,600.12,1
[N MINT] LONGINES Conquest 161 4940 White Dial Quartz Swiss Made Men's Watch,229.99,1
[N MINT / Box] Vintage Longines 847 4427 Gold Dial 33mm Hand Winding Mens Watch,256.41,1
[Near MINT] Longines 7200 Cal.L173.4 Gold Quartz Men's Vintage Watch From JAPAN,249.9,1
Longines Conquest,339.0,1
LONGINES Ultracron Cal.431 Silver Dial Automatic Men's Watch_866779,396.0,1
Longines Admiral Automatic Watch 36mm From Japan 165 6294918,165.0,1
Longines Qwr Watch Quartz Analog 2-Hand Square Mz5712 Dial Black Gold Color Ladi,250.44,1
Longines Watch Quartz 21mm White Round Vintage Ladies Swiss Made,118.5,1
[Near MINT] Longines Flagship L150.2 150 3330 Silver Dial Quartz Men's Watch,300.0,1
Longines Quartz Watch Two-Tone Silver Dial Roman 30mm Vintage Ladies Swiss Made,228.0,1
CASE [Near MINT] Longines L700.2 700 3678 Gold 27mm Quartz Men's Watch JAPAN,249.99,1
【Exc+5】Longines Charleston L176.2 5237 Roman Dial Small Second Quartz Mens Watch,249.99,1
LONGINES LES GRANDES CLASSIQUES QUARTZ (VERY HIGH PRECISION).,230.0,1
[Excellent+5] Longines L717.2 717 4360 25mm Gold Quartz Women's Watch Japan,90.0,1
[Exc+5] Vintage LONGINES L150.4 Gold Dial Men's Quartz Watch From JAPAN,139.99,1
[Near Mint] LONGINES Conquest V.H.P. VHP 4018 Gray Dial Men's Quartz Watch,240.0,1
"""Near Mint"" Longines 150 7047 Gold Quartz Women's Watch From JAPAN #T151",179.99,1
Boxed *MINT* Vintage LONGINES L847.4 4427 Manual Winding Gold Mens 33mm Watch,329.9,1
"Vintage ""Near Mint"" LONGINES Silver Dial Roman Hand winding Men's Watch JAPAN",249.99,1
Longines Cal.428 Hand-wound Ref.7757 1960s Vintage Men's Watch from Japan Rare,800.0,1
LONGINES L847.4 HAND-WINDING GOLD MEN'S VINTAGE WATCH SWISS MADE F918,178.2,1
LONGINES FERRARI  QUARTZ MENS VINTAGE WATCH,365.0,1
[Near Mint] LONGINES L960.2 6216 Silver Dial Round 31mm Mens Quartz Watch [Read],187.15,1
18k 750 [Near MINT] Longines Cal. L717.2 Gold Dail TV Shape Quartz Women's Watch,600.0,1
Vintage 1979 [Near MINT] Longines Cal.978 6330 Gold Mens Quartz Watch From JAPAN,179.9,1
"""MINT"" Vintage Longines Quartz Dress Watch 730 4173 L730.2 Gold Mens 34mm Swiss",169.99,1
LONGINES 20794319 Ladies Vintage Watch Gold Dial New battery New Leather Band,140.0,1
LONGINES Round Gold Ladies' Watch with Box 613,140.0,1
LONGINES L700.2 MEN'S 27mm GOLD DIAL VINTAGE WATCH QUARTZ F994,135.09,1
LONGINES Admiral Octagon Case Chronometer Vintage Automatic Wristwatch Working,260.0,1
Longines Classic Roman White Dial Quartz 33MM Gold Case Men's Watch - New Strap,240.0,1
Longines Conquest Gold Dial Quartz Unisex Watch Round Swiss Used Working #71,145.9,1
Vintage [Near MINT w/ Box] LONGINES LL 0374 0961 Gold Quartz Women's Watch JAPAN,269.99,1
**VINTAGE** LONGINES ULTRA CHRON AUTOMATIC CALENDAR MENS`S WRIST WATCH & BOX,560.0,1
"""EUC"" LONGINES 7424 LES GRANDES CLASSIQUES MEN'S VINTAGE WATCH QUARTZ F901",229.14,1
[N Mint] LONGINES Admiral 5 Five Star Date Silver Dial Automatic Men's Watch,580.0,1
[NEAR MINT] Longines presence L156.4 Gold Dial Quartz Mens Vintage Watch JAPAN,159.99,1
Vintage ◆Exc+5◆ LONGINES L847.4 Hand Manual Winding Gold 30mm Men's Watch 1085,219.99,1
【 N MINT+++ 】 Vintage LONGINES L153.4 3417 Gray Dial 21mm Quartz Women's Watch,229.9,1
Vintage [Exc+5] LONGINES Flagship 7309 Gold Dial 32mm Men's Qtz watch From Japan,149.99,1
[Near MINT] LONGINES 153 3415 Gold Dial Quartz Women's Watch From Japan,179.99,1
[Near MINT / BOX] LONGINES Conquest V.H.P. 4026 Ti Titan Gold Quartz Men's Watch,300.0,1
LONGINES ADMIRAL HF Cal.6922 17Jewels Hand-winding.,655.0,1
【NEAR MINT】 LONGINES Conquest 24mm Quartz Women's Watch From JAPAN,193.0,1
[Near MINT] LONGINES L978.2 978 6385 Roman Numerals 33mm Quartz Men's Watch,184.99,1
[Near MINT] Longines Grand Classic L140.6 140 7413 White Dial Quartz Men's Watch,259.99,1
[Near MINT in Box]  Longines 0594000 Gold Hand Winding Men's Watch From JAPAN,255.99,1
Operational LONGINES Very High Precision Watch Date Leather b,146.68,1
[Near MINT w/Box] Vintage LONGINES 3207 846 3206 831 Gold Hand Manual Pair Watch,689.99,1
"""NEAR MINT"" Vintage Longines 5662 Gold 23mm Square Hand Winding Women's Watch",119.9,1
[Near MINT]  Vintage  Longines MZ5712 Gold Dial Quartz Women watch JAPAN,329.9,1
*Exc+5* Vintage LONGINES L978.2 6411 Gold Dial 32mm Square Mens Quartz Watch JPN,179.9,1
LONGINES L56614 Dolce Vita white SS QZ,460.0,1
*Near MINT* Longines Flagship 156 7343 Men's Date Vintage Swiss Quartz Watch,139.99,1
Vintage 1974 [Near MINT Full Set] Longines L846.4 Black Manual 31mm Men's Watch,550.0,1
Vintage! N Batt [EXC+5] Longines 150 6896 Gold Dial Qz Moon Index Men's From JPN,79.99,1
530 Longines Women'S Watch Automatic Silver Vintage,120.0,1
[NEW Batt] LONGINES Charleston 5226 Quartz 24mm Women's Watch From JAPAN,299.99,1
NEW Batt [Near MINT] LONGINES Presence L156.4 Gold Quartz Men's Watch JAPAN,229.99,1
[Near MINT] Vintage LONGINES CHARLESTON L176 5228 32mm Roman Gold Qz Men's Watch,259.99,1
"""NEAR MINT"" Vintage Longines 847 4448 Roman Hand Winding Men's Watch From JAPAN",299.9,1
*NEAR MINT* LONGINES Grand Classic L4.2052 Gold Roman Dial Quartz Mens Watch JPN,349.9,1
New Battery [Near MINT] Longines Conquest L161.4 Titanium Gray Men's Qz Watch,168.0,1
Longines Presence 150 6799 Quartz 32mm Unisex Gold Watch w/ Aftermarket Band,105.0,1
LONGINES Admiral HF High Frequency Gold Date Automatic Men's Watch Vintage 35mm,440.0,1
【N MINT w/Box】 Vintage LONGINES 761 6185 L761.2 Gold Quartz Men Watch From Japan,199.9,1
[Exc+5] Vintage Longines 153 6884 Square Gold Quartz Women's Watch From Japan,119.99,1
【NEAR MINT In Box】LONGINES Conquest 161.4940 Silver Gold Dial Quartz Men's JAPAN,193.99,1
[Near MINT]  LONGINES 7291 White Dial GOLD Belt Date Quartz Watch From JAPAN,259.9,1
Vintage [Near MINT] Longines L151.2 Gold Dial Quartz Women's Watch From JAPAN,159.99,1
[Near MINT] LONGINES 7011.1 Cal.L173.2 Quartz Men's Vintage Watch From JAPAN,249.99,1
MINT BOX Longines Présence Quartz Gold Dial Date Day Dress 38mm Watch Swiss Made,299.99,1
Longines Watch Men's 32mm Gold Manual Vintage Round Swiss Made,120.0,1
Reserved Longines Watch Ladies Quartz Vintage Gold Round 22mm Swiss Made,65.0,1
[Near MINT] Longines Presence 150 7112 Gold Square Quartz Men's Watch From JAPAN,199.9,1
[Near MINT]  Vintage LONGINES 150 7048 Gold Dial Quartz Men's Watch From JAPAN,189.0,1
Longines Mechanical Hand-Wind Watch Blue Dial 34mm Vintage Men's Rare Working,468.83,1
Vintage 1987 [Exc+5] Longines L950.2 950.4839 Gold 33mm Quartz Men's Watch JAPAN,319.9,1
Vintage 1996 [Near MINT] Longines Flagship 153 3329 Two Tone Quartz Ladies Watch,255.0,1
LONGINES  Silver SS/leather MN,248.0,1
Reserved Longines Men's Quartz Watch Men's Quartz 33mm Vintage White Round Swiss,150.0,1
[EXC+5] Longines L161.2 Conquest Gold Date Quartz Mens Vintage Watch JAPAN,179.99,1
[NEAR MINT] Longines L963.4 Quartz Gold Dial Square Women Vintage Watch JAPAN,189.99,1
Rare *NEAR MINT* Vintage LONGINES Gold Tank Shape Mens 26mm Quartz Watch JAPAN,269.9,1
Vintage *Near MINT* Longines 150 6730 Gold Dial 31mm Men's Quartz Watch JAPAN,169.9,1
*Near MINT / BOX* LONGINES 817 1136 Gold Manual Hand Winding Women Watch JAPAN,199.99,1
【NEAR MINT】 Longines 6606 962 XL 18 Quartz two tone White dial Woman's Japan,99.99,1
"""N MINT"" Vintage LONGINES Presence 150 7112 Square Quartz Men's Watch From Japan",189.9,1
*NEAR MINT* Vintage LONGINES Grand Classic L140.6 Gold Square Mens 32mm Watch,239.9,1
Rare *NEAR MINT* LONGINES Cal.L978.2 978.6512 Quartz 31mm Gold Dial Mens Watch,239.9,1
"Vintage ""NEAR MINT+++"" Longines 150 7112 Quartz Men's Square Gold Watch JAPAN",205.0,1
Longines Quartz Watch Silver Mesh Band Square Case Used,397.12,1
Vintage 1988 [N MINT / Box] Longines L950.2 4851 Gold Qz 33mm Men's Watch JAPAN,379.9,1
[Near MINT] LONGINES 156 7013 White Dial Gold Date Roman Quartz Men's Watch,229.99,1
Longines Conquest Date Quartz Watch,95.0,1
Longines Watch Gold Round Vintage Quartz 23mm Ladies Round Swiss Made,86.1,1
New Batt [Near MINT] LONGINES L150.4 Silver Gold 32mm Quartz Men's Watch JAPAN,179.99,1
[Near MINT] LONGINES L152.4 0152 Gold Dial Date Quartz Men's Watch From Japan,229.99,1
[NEAR MINT] LONGINES Conquest V.H.P VHP 4018 Gray Dial Mens Quartz Watch Japan,249.99,1
[Near MINT] Vintage Longines L150.4 6879 Quartz White Dial Mens Watch From Japan,219.99,1
Reserved Longines Watch Men's Manual 35mm Gold Round Vintage Swiss Made,100.0,1
LONGINES Watches 7463 Stainless Steel Mechanical Automatic,864.0,1
[Near MINT] Longines Conquest Medallion Automatic Silver Dial Date Men's Watch,789.0,1
Vintage Longines Admiral Five Star Automatic Watch Silver Bracelet 1970s,635.0,1
【EXC+5】 Vintage LONGINES Admiral Five Star Silver Dial Date 35mm  AT Men's Watch,499.9,1
[NEAR MINT] Longines Conquest L163.2 Quartz White Dial Mens Vintage Watch JAPAN,279.99,1
Longines Watch Quartz Oval Gold Ladies 21mm Vintage Swiss Made,83.64,1
LONGINES 4115.847 Manual Wristwatch Watch White Black Leather SS Unisex Used,375.0,1
Reserved Longines Conquest Watch Men's 36mm Silver Vintage Quartz Swiss Made,210.0,1
Longines Ref.4200 Cal.L994.1 Gold Dial Date Automatic Men's Watch Vintage 30mm,390.0,1
▶️[Near Mint] Longines Conquest Women's Titanium Quartz Watch Swiss Made Vintage,179.99,1
*Exc+5* LONGINES Cal.L646.4 Manual Winding Roman Octagon Small Second Gold Watch,299.9,1
[Exc+5]  Longines Very High Precision 7176  Quartz From JAPAN,240.0,1
【NEAR MINT】 LONGINES Conquest Date Gold Quartz Men's Watch Vintage From JAPAN,170.0,1
Longines 968119 Mechanical Watch,108.41,1
"Working LONGINES watch, round, new strap, vintage",75.0,1
[Excellent+5] Longines Cal.L977.2 Ref.9776458 33mm Gold Dial Quartz Men's Watch,132.02,1
Vintage [MINT] LONGINES 7019 150 L150.4 29mm Gold Square Quartz Men Watch,199.99,1
[NEAR MINT] Longines L847.4 Gold Dial Hand Winding Mens Vintage Watch From JAPAN,239.99,1
[N MINT] Longines 7245 Black Dial Chronograph Date Quartz Mens Watch From Oregon,399.99,1
Longines Conquest White Dial Gold Strap Quartz Unisex Watch Used Working #22,477.0,1
"Vintage ""Exc+5"" LONGINES 156 6801 Gold Date Quartz Men's Watch From JAPAN",170.0,2
LONGINES Men's Watch  Gold 31mm Vintage New Battery New Leather Band,135.0,1
[Near MINT] Vintage LONGINES 837 6190 30mm Gold Dial Hand Winding Men's Watch,299.99,1
[Near MINT w/Paper] Longines L751.2 7027 Gold Dial Quartz Men's Watch From Japan,199.99,1
N MINT Longines La Grande Classique 7412 Quartz Gold-Tone Dress Watch Swiss Made,220.0,1
[GUC] LONGINES L140.6 MEN'S 35mm SILVER DIAL VINTAGE WATCH QUARTZ SWISS G38,169.2,1
LONGINES HAND-WINDING GOLD 33mm MEN'S VINTAGE WATCH SWISS MADE F973,208.0,1
【Exc+5】 Vintage LONGINES 156 6801 Gold Date Quartz Men's Watch From Japan #5380,159.9,1
Longines Admiral Gold Date Automatic Men's Watch Vintage 34mm,498.0,1
[Exc+5] Vintage LONGINES L960.2 33mm Gold Dial Quartz Men's Watch From JAPAN,189.99,1
【Near MINT】  LONGINES L817.4 Manual Winding Gold Dial Women Watch From JAPAN,193.2,1
LONGINES Unisex Watch Silver 33mm Vintage New Battery,159.0,1
Vintage [ MINT /Box] LONGINES L847.4 1172 Manual Winding Gold Mens Watch JAPAN,349.99,1
[Near MINT w/ BOX] Longines Cal. 5602 805 1089 Hand Winding Swiss Women's Watch,139.99,1
Reserved Longines Flagship Watch Quartz Men's Vintage 32mm Silver Round Swiss,150.0,1
Longines Antique Silver Hand-Winding Mechanical Men's Watch Vintage 6.9in wrist,150.0,1
▶️ Vintage [Near MINT] Longines La Grande Classique Silver Quartz Mens Watch,275.0,1
Longines S.T.DUPONT 75CYH31 Quartz Movement Only Used Watch,169.0,1
*Near MINT* Longines Conquest VHP 4018 Silver Dial 35mm Quartz Men's Watch JAPAN,249.99,1
[Near MINT] Vintage LONGINES 962 5156 150th Anniversary White Qz Men's Watch,299.99,1
Vintage [NEAR MINT] LONGINES Grand Classic 7415 Date Gold Men's Watch From JAPAN,229.99,1
discount LONGINES Gold Plated/Leather Smallsecond Ladies Watch O#137944,245.38,1
LONGINES Vintage Cal.22AS Silver Dial Automatic Men's Watch_769464,537.4,1
Reserved Longines Flagship Watch Quartz Ladies Vintage 23mm White Round Swiss,95.0,1
Longines HydroConquest Chronograph 47mm Quartz Men's Watch Blue [ Box Damaged ],790.0,1
[Near MINT w/Case] Longines L156.2 32mm Silver Dial Date Quartz Men's Watch,229.0,1
Vintage ◆Exc+5◆ LONGINES L847.3 Gold Hand Manual 33mm Men's Watch 4327 JAPAN,179.99,1
Vintage [ Exc+4 ] Longines 978.6331 Gold Dial Quartz Watch From JAPAN 18.5cm,119.0,1
[MINT IN BOX] LONGINES 970-6357 Qz Square Gold Dial Date Men's Watch From JAPAN,239.99,1
[Near MINT] Longines Cal.528 White 28mm Square Hand Winding Men From JAPAN W650,209.9,1
[Exc+5] LONGINES Dolce Vita L176.2 Pink Small Second Quartz Men's Swiss Watch,319.99,1
⏯ [Exc+5] LONGINES L161.4 White Dial Roman Date Quartz Unisex Watch From JAPAN,229.99,1
Longines Conquest Silver Dial Manual Wind Men's Watch 36mm Vintage,125.0,1
[Exc+5] LONGINES 150 6732 Square Quartz Gold Dial 29mm Swiss Made Men's Watch,179.99,1
◆Vintage N MINT◆ Longines 761 6238 Gold Hexagon Men's 34mm Quartz Watch L761.2,199.99,1
Rare! *EXC+5* LONGINES 962 6499 Gold Stone Dial Woman's 23mm QZ Watch From JAPAN,134.38,1
Longines Watch  153-3343 21mm Women's Silver X gold 3562715,158.0,1
Exc+5*Box LONGINES HydroconquestL 3.781.4 Automatic Black Men's Watch From JAPAN,1029.0,1
[MINT] Vintage Longines L153.2 Quartz Gold Dial Square Women Watch From JAPAN,179.99,1
"""EUC"" LONGINES CONQUEST Ti 24mm WOMEN'S VINTAGE WATCH SWISS QUARTZ G61",160.2,1
[Near MINT] Longines Square 605 1177 Hand Winding Swiss Women's Watch Vintage,149.99,1
Longines Conquest Moon Phase 4010 Gold x Silver Band Quartz Men's Watch From JPN,508.0,1
[Near MINT] LONGINES Charleston L176 5228 Ivory Quartz Men's Watch From JAPAN,289.99,1
Longines Admiral Blue Dial Silver Date Automatic Men's Watch Vintage 34mm,440.0,1
Longines Pleasant Watch Men's 32mm Quartz Vintage Round Gold Swiss Made,175.2,1
Vintage [N MINT] LONGINES Presence 150 7112 Square Quartz Men's Watch From Japan,189.99,1
Longines Conquest V.H.P. Men’s Watch 42mm Blue Dial Stainless Steel Used From Ja,1322.99,1
[EXC+5] LONGINES L847.4 Hand Winding Gold Dial Mens Vintage Watch From JAPAN,219.99,1
Longines Ladies Watch Gold Silver Two Tone 23mm Quartz Vintage Rare Japan,115.0,1
[Near MINT] Longines Grand Classic L200.6 22mm White Dial Quartz Women's Watch,229.99,1
Vintage [Near MINT] Longines 161 7444 Gold Dial Date 33mm Quartz Men's Watch,199.99,1
[Near MINT] Vintage Longines 717 4364 Black Dial Gold 22mm Quartz Ladies Watch,150.0,1
"Vintage ""Exc+5"" Longines Ultra Chron Silver Date Men's Automatic Watch JAPAN",380.0,1
"""25 Batt"" BOX Longines Charleston 176 5231 Small Seconds Quartz Gold Watch JAPAN",285.0,1
LONGINES ULTRA-CHRON Cal.6651 25Jewels Automatic.,774.0,1
Longines Quartz 150 7010 Swiss Boys/Men's,212.13,1
LONGINES Men's Watch  Gold 30mm Vintage New Battery New Leather Band,179.0,1
*Exc+5* Vintage LONGINES L978.2 6398 Gold Dial Square Mens 28mm Watch from JAPAN,213.23,1
